Date,Open,High,Low,Close,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2015-01-02,26.430298664187116,26.58910055297391,26.196068386511584,26.27894401550293,26480000
2015-01-05,26.159842033382823,26.201526888631296,25.693367301046194,25.77822494506836,41182000
2015-01-06,25.829838535819537,25.865071897808562,25.087944557186944,25.14203643798828,54456000
2015-01-07,25.355918529256122,25.382714585800812,24.993655911052315,25.068092346191406,46918000
2015-01-08,24.887457945151546,25.184711493728862,24.56539035849883,25.155433654785156,73054000
2015-01-09,25.218455261522696,25.239297689143015,24.745529031241983,24.848251342773438,42000000
2015-01-12,24.77480783466235,24.826417927884677,24.36143111102275,24.6666259765625,57138000
2015-01-13,24.940060867856943,25.239300231443412,24.676552735965288,24.9018497467041,60958000
2015-01-14,24.83336482637398,25.222425374457995,24.7212132549497,25.10679817199707,52800000
2015-01-15,25.25369009983225,25.296366913259128,24.912269913281328,25.011520385742188,51068000
2015-01-16,24.968841611236375,25.350954698690078,24.965863850974774,25.331602096557617,49658000
2015-01-20,25.446235019043122,25.58717034639147,25.27750978712287,25.305795669555664,46796000
2015-01-21,25.35046073153131,25.896833403261784,25.288429418122846,25.82438087463379,46356000
2015-01-22,25.95389964352086,26.739960219628923,25.899809658931048,26.663537979125977,56068000
2015-01-23,26.69976350422547,27.065995819308014,26.58661808424548,26.8942928314209,45966000
2015-01-26,26.871966059053122,26.871966059053122,26.40400143114213,26.63475799560547,30932000
2015-01-27,26.370750216611732,26.439233025193477,25.847701786405633,25.864078521728516,39148000
2015-01-28,26.053150086223937,26.087391490349304,25.425393534652653,25.429363250732422,35822000
2015-01-29,25.4526860708274,25.566327469471204,24.98521747991436,25.46906280517578,79018000
2015-01-30,25.75540086186241,26.95136445188612,25.71470795873333,26.675945281982422,121108000
2015-02-02,26.515655994208572,26.623839752841796,25.890381204884132,26.410451889038086,75378000
2015-02-03,26.29829887195368,26.670982726731545,26.142972600970907,26.46504020690918,47062000
2015-02-04,26.4570961940132,26.636242637507667,26.05463666846763,26.107736587524414,33896000
2015-02-05,26.19855215156569,26.335517773497997,26.084910742202876,26.2928409576416,33176000
2015-02-06,26.351395030138676,26.808440496356397,26.23427989799894,26.493818283081055,42938000
2015-02-09,26.35387436255801,26.493817723378637,26.17969149457252,26.26554298400879,30314000
2015-02-10,26.40796970983827,26.847150557367968,26.26008689830117,26.805465698242188,47430000
2015-02-11,26.784126109376253,26.894293773076562,26.59902414091422,26.698274612426758,38306000
2015-02-12,26.78065169246417,27.211397099891595,26.648649647734146,27.09577178955078,48590000
2015-02-13,27.17020899450773,27.419824054184307,27.12505039897322,27.351341247558594,47382000
2015-02-17,27.35134319142639,27.442652344719843,26.95930484104793,27.0461483001709,39174000
2015-02-18,26.98709296463159,27.172194934591545,26.775194938373996,26.929031372070312,31164000
2015-02-19,26.92010002058703,27.137953567668845,26.834744500697806,27.11760711669922,30834000
2015-02-20,27.173682686766238,27.173682686766238,26.703238214977,26.886850357055664,38234000
2015-02-23,26.747901276188085,26.76278818461709,26.400525566163825,26.549400329589844,32906000
2015-02-24,26.3781943116169,26.767750872338546,26.350900383097613,26.730533599853516,28406000
2015-02-25,26.7201111342929,27.272437391445322,26.69877083454283,27.161277770996094,40836000
2015-02-26,27.082375863567233,27.79647993538524,27.050118369011518,27.75479507446289,54032000
2015-02-27,27.69821872620895,28.257494342129995,27.64263891703325,27.92053985595703,68328000
2015-03-02,28.137400825105498,28.583529115340724,27.946343342215318,28.53539276123047,50406000
2015-03-03,28.601394027793887,28.824707110269166,28.311087967098647,28.72248077392578,50526000
2015-03-04,28.632160870955687,28.86341337856102,28.411329577132125,28.69965171813965,37964000
2015-03-05,28.763671520139305,28.94132814890123,28.694692732976936,28.853492736816406,35918000
2015-03-06,28.88177697278826,28.920484069243443,28.388504276039424,28.43018913269043,37592000
2015-03-09,28.331930426363343,28.556731442648974,28.239131455244465,28.48973846435547,23478000
2015-03-10,28.21084494636263,28.274366078259387,27.78109150276836,27.782581329345703,40080000
2015-03-11,27.78010186536099,27.99745944103969,27.562248311796857,27.576143264770508,40524000
2015-03-12,27.714597335688122,27.881336774494798,27.568204348837554,27.84808921813965,35602000
2015-03-13,27.751816349465276,28.006393093425856,27.31015371576543,27.442651748657227,35428000
2015-03-16,27.637677971390843,27.976120400037875,27.359281047292676,27.87141227722168,36856000
2015-03-17,27.7051664906924,27.821785652820942,27.512622961063546,27.671422958374023,28892000
2015-03-18,27.67737806853234,28.113087075267696,27.467463944064626,28.095718383789062,35324000
2015-03-19,28.014333548867,28.13541841552837,27.89523448689159,27.972152709960938,24660000
2015-03-20,28.123010649951073,28.14236325185742,28.01234700892189,28.035669326782227,44320000
2015-03-23,28.08777647665566,28.268412757337785,27.941879471256726,28.0565128326416,30234000
2015-03-24,28.213823808722918,28.875821743222122,28.191491553551952,28.660449981689453,79156000
2015-03-25,28.66193598261257,28.78599858973273,28.137399673461914,28.137399673461914,53070000
2015-03-26,28.02078523561912,28.146833668317576,27.70616297135463,27.97066307067871,49842000
2015-03-27,27.88083767070832,27.99199917716184,27.637676016377597,27.66844367980957,34552000
2015-03-30,27.802434829384836,27.897217720141064,27.630731824384306,27.846599578857422,24788000
2015-03-31,27.68779768680417,27.911606751548856,27.525523952048324,27.527013778686523,34932000
2015-04-01,27.533464889761103,27.71558720175403,27.096763958564374,27.26846694946289,38902000
2015-04-02,27.165246649010005,27.194524486830748,26.819358886342425,26.862533569335938,47760000
2015-04-06,26.739958855824437,27.072447643801446,26.58413662244109,26.99354362487793,33718000
2015-04-07,27.04515350925915,27.301714143465453,26.97567874924372,27.0387020111084,27318000
2015-04-08,27.09527264344172,27.368211893598776,27.09527264344172,27.236207962036133,28386000
2015-04-09,27.25457011471264,27.26250954597201,26.894291445425807,27.195514678955078,32366000
2015-04-10,27.27243521822849,27.286330169677417,27.04465645281421,27.22132110595703,26104000
2015-04-13,27.14738190135355,27.456048607430134,27.110162738822524,27.22628402709961,29326000
2015-04-14,27.123564161220745,27.123564161220745,26.586124782012064,26.786609649658203,47206000
2015-04-15,26.696288076150243,26.95582645294457,26.418883139664995,26.849132537841797,46962000
2015-04-16,26.715643577965192,27.05706376476837,26.70323845205174,26.972206115722656,31722000
2015-04-17,26.664036995279996,26.787603651088734,26.251654057693347,26.4372501373291,49234000
